,parameters,mean,50q
189,v_subj(Stressed).1047,0.5396936263858879,0.5367552092719529
190,v_subj(Stressed).1048,0.07685667143813536,0.07121079862654067
191,v_subj(Stressed).1049,0.21002182040863415,0.20560850986035434
192,v_subj(Stressed).1050,0.36141702164624107,0.3582830126057532
193,v_subj(Stressed).1051,0.36447183566454655,0.35104071073275533
194,v_subj(Stressed).1052,0.020894559051398583,0.017219060473795844
195,v_subj(Stressed).1053,0.8844127285319116,0.8779287310263009
196,v_subj(Stressed).1054,0.43306506228997765,0.43049016525193334
197,v_subj(Stressed).1056,0.7372675217484138,0.732623753613632
198,v_subj(Stressed).1057,0.5127414419679315,0.5093532945687507
199,v_subj(Stressed).1058,0.35776483083647526,0.3542746023172003
200,v_subj(Stressed).1061,0.26034094796054724,0.24901158345856983
201,v_subj(Stressed).1063,0.7652201146591376,0.7602139036775939
202,v_subj(Stressed).1065,0.035998507522095206,0.03369683255429098
203,v_subj(Stressed).1066,0.44752650516844467,0.44762767456062047
204,v_subj(Stressed).1067,0.5505792973449032,0.5461714702254843
205,v_subj(Stressed).1069,0.4310219574718323,0.4192147817674783
206,v_subj(Stressed).1070,0.5033864634097831,0.49215216798080863
207,v_subj(Stressed).1071,0.3316714549324838,0.32653053023511486
208,v_subj(Stressed).1072,0.4387366986608025,0.4424502475507826
209,v_subj(Stressed).1073,0.2419167113797713,0.23670607532249485
210,v_subj(Stressed).1074,0.5577899543654266,0.5571674114653864
211,v_subj(Stressed).1076,0.5475717558937934,0.5410376460088515
212,v_subj(Stressed).1077,0.5068568935350695,0.5053058372824333
213,v_subj(Stressed).1078,0.5454444107484118,0.5380294226314858
214,v_subj(Stressed).1079,0.2920056253065306,0.28398828323730374
215,v_subj(Stressed).1080,0.5430953119370387,0.5388946515234125
216,v_subj(Stressed).1081,0.3581141166718528,0.3482390003892184
217,v_subj(Stressed).1083,0.47916920781151795,0.46390515137981
218,v_subj(Stressed).1084,0.31626945715090277,0.3050925685954431
219,v_subj(Stressed).1087,0.3976028532642014,0.38920448570281785
220,v_subj(Stressed).1088,0.385088055239863,0.373335197225351
221,v_subj(Stressed).1091,0.4135653111251904,0.40755854161386307
222,v_subj(Stressed).1092,0.4540631620094789,0.4511524794500762
223,v_subj(Stressed).1093,0.4995957017207461,0.4951288212342855
224,v_subj(Stressed).1096,-0.25892919788827556,-0.2587306906964177
225,v_subj(Stressed).1097,0.44422765683328347,0.43592070035213615
226,v_subj(Stressed).1099,0.1773945595053172,0.16875869949564193
227,v_subj(Stressed).1100,0.47994170702622035,0.4743832660535513
228,v_subj(Stressed).1101,0.2529511393674055,0.2467026973591323
229,v_subj(Stressed).1102,0.5813151783368349,0.5754565604889856
230,v_subj(Stressed).1104,0.5091084778802503,0.5022483177582822
231,v_subj(Stressed).1106,0.29940921492785094,0.2924878788332874
232,v_subj(Stressed).1107,0.6851492832562289,0.6843710529542286
233,v_subj(Stressed).1109,0.1875675174377636,0.18449810106472678
234,v_subj(Stressed).1110,0.7036055853816485,0.6927223353588468
235,v_subj(Stressed).1112,0.5338604499796141,0.5316116813146796
236,v_subj(Stressed).1114,0.18995665830489936,0.1834662121027123
237,v_subj(Stressed).1115,0.4071571528075322,0.4066096138269071
238,v_subj(Stressed).1119,0.6531628968542077,0.6568454425592947
239,v_subj(Stressed).1123,0.563877799381678,0.5631583999718512
240,v_subj(Stressed).1124,0.6043402000434245,0.6048903284747374
241,v_subj(Stressed).1125,0.05428122200590876,0.05127539514404561
242,v_subj(Stressed).1128,0.6180326575487569,0.613190277116336
243,v_subj(Stressed).1130,0.4987631135288681,0.48936110586197823
244,v_subj(Stressed).1141,0.5567100582206977,0.5452282171751361
245,v_subj(Stressed).1143,0.2833784061835994,0.27093503981955785
246,v_subj(Stressed).1144,0.008480766497818062,0.004387258820870876
247,v_subj(Stressed).1145,0.441425816509062,0.44056144583952644
248,v_subj(Stressed).1147,0.5652739387720453,0.5614831075347441
249,v_subj(Stressed).1148,0.11564321994508683,0.11098402298296814
250,v_subj(Stressed).1149,0.8001664945316113,0.7968233340306394
251,v_subj(Stressed).1151,0.7136815882830487,0.7135971765514137
252,v_subj(Stressed).1153,0.6743249538842782,0.6629001379599502
253,v_subj(Stressed).1155,0.3737009147235424,0.3761344789635586
254,v_subj(Stressed).1157,0.4483745293237293,0.4390954911216869
255,v_subj(Stressed).1158,0.480621582084918,0.47533697381523843
256,v_subj(Stressed).1159,0.33043402063507554,0.3269588176314413
257,v_subj(Stressed).1160,0.332125943249151,0.3256622124746059
258,v_subj(Stressed).1161,0.4685733763055989,0.466314756949461
259,v_subj(Stressed).1162,0.5142546804115422,0.5076030453635972
260,v_subj(Stressed).1163,0.17159974331580588,0.16907838218190463
261,v_subj(Stressed).1164,0.24206838351466375,0.23333153168881804
262,v_subj(Stressed).1166,0.4923129658124677,0.48797567437337397
263,v_subj(Stressed).1168,0.3674238577406565,0.36506803378054387
264,v_subj(Stressed).1169,0.7979918503053285,0.7954852206773367
265,v_subj(Stressed).1172,0.7310710552034861,0.7239499328275204
266,v_subj(Stressed).1173,0.5760620312005045,0.5733125096529257
267,v_subj(Stressed).1174,0.5990914552039547,0.597244210704756
268,v_subj(Stressed).1175,0.22370818694840486,0.21879919933643446
269,v_subj(Stressed).1180,0.5388902062015134,0.5355041253943111
270,v_subj(Stressed).1184,0.7264122570319724,0.7173061356371037
271,v_subj(Stressed).1188,0.06016598038333983,0.0539479146990694
272,v_subj(Stressed).1190,0.18346078461700105,0.17700652943868844
273,v_subj(Stressed).1197,0.026034586029708515,0.024512823182379878
274,v_subj(Stressed).1199,0.11271237082519273,0.10778783545750592
275,v_subj(Stressed).1200,0.7594559335653853,0.7561113773448619
276,v_subj(Stressed).1201,0.5480502710836119,0.5418465222219788
277,v_subj(Stressed).1202,0.4665281861672251,0.4576840669182521
