,parameters,mean,50q
195,v_subj(Stressed).1053,1.2598913376133283,1.0227788912252267
196,v_subj(Stressed).1054,0.6113122701260106,0.5057655114645623
197,v_subj(Stressed).1056,1.0383319777107216,0.875794058294896
198,v_subj(Stressed).1057,0.768153151887108,0.6367204060077932
199,v_subj(Stressed).1058,0.5347188525812159,0.43236710095950154
200,v_subj(Stressed).1061,0.47609724287118055,0.3258735165217074
201,v_subj(Stressed).1063,1.099628313768793,0.8990733889715504
202,v_subj(Stressed).1065,0.15802909437109258,0.05313683813949144
203,v_subj(Stressed).1066,0.6773215101631805,0.5494464563079711
204,v_subj(Stressed).1067,0.7716193225398252,0.6627564673650319
205,v_subj(Stressed).1069,0.7320518124698774,0.5056026984475966
206,v_subj(Stressed).1070,0.6977777809438385,0.5661266380346286
207,v_subj(Stressed).1071,0.5832811354850462,0.41643122894201273
208,v_subj(Stressed).1072,0.6300398573256852,0.522740840505019
209,v_subj(Stressed).1073,0.4212782572406884,0.30520968152131833
210,v_subj(Stressed).1074,0.8104165136551853,0.6717009005670408
211,v_subj(Stressed).1076,0.8202962459615022,0.6765420609554395
212,v_subj(Stressed).1077,0.7024252922190604,0.5938747486290907
213,v_subj(Stressed).1078,0.8020434056939818,0.6731803940861492
214,v_subj(Stressed).1079,0.4976478311225153,0.3640619821147271
215,v_subj(Stressed).1080,0.775329765870724,0.6457765634396109
216,v_subj(Stressed).1081,0.5841192122163263,0.41946879239809404
217,v_subj(Stressed).1083,0.8025638647892056,0.5618505114713146
218,v_subj(Stressed).1084,0.6344839901294642,0.4019542867085283
219,v_subj(Stressed).1087,0.5687873626085416,0.4725809901934197
220,v_subj(Stressed).1088,0.6751330203627811,0.4811690810816286
221,v_subj(Stressed).1091,0.6130083896979072,0.4897467859932353
222,v_subj(Stressed).1092,0.673202822428381,0.5693598064666852
223,v_subj(Stressed).1093,0.7309558316472693,0.6001653108807017
224,v_subj(Stressed).1096,-0.3388280280578588,-0.3052719781607434
225,v_subj(Stressed).1097,0.6366969725788424,0.5268168307359241
226,v_subj(Stressed).1099,0.3443963443681309,0.21211645825227265
227,v_subj(Stressed).1100,0.7069909653685721,0.5752728110383636
228,v_subj(Stressed).1101,0.43218543324703673,0.32197382081290804
229,v_subj(Stressed).1102,0.7848979735366294,0.6592837129233303
230,v_subj(Stressed).1104,0.7755483972446633,0.6014236761926361
231,v_subj(Stressed).1106,0.4325865456333895,0.34102410612267586
232,v_subj(Stressed).1107,0.9690629903590403,0.8033242464247004
233,v_subj(Stressed).1109,0.36352672598107755,0.23241287795937632
